age,sexe,pays_origine,raison_voyage,provenance,destination,papiers_valides,casier_judiciaire,niveau_risque
58,Homme,RDC,Transit,Lubumbashi,Kananga,0,0,Moyen
61,Homme,Ouganda,Migration,Kinshasa,Mbujimayi,0,0,Moyen
32,Homme,Ouganda,Affaires,Lusaka,Nairobi,1,0,Faible
46,Femme,Zambie,Tourisme,Lubumbashi,Nairobi,1,1,Moyen
35,Homme,Angola,Transit,Kinshasa,Mbujimayi,1,0,Faible
40,Femme,Ouganda,Transit,Kinshasa,Nairobi,1,0,Faible
42,Homme,Ouganda,Transit,Lusaka,Luanda,1,0,Faible
63,Homme,RDC,Affaires,Kisangani,Mbujimayi,0,0,Moyen
42,Femme,Burundi,Transit,Lubumbashi,Tshikapa,1,0,Faible
60,Femme,Tanzanie,Tourisme,Kigali,Nairobi,0,0,Moyen
28,Femme,Burundi,Transit,Lusaka,Nairobi,0,1,Élevé
67,Homme,Angola,Tourisme,Kisangani,Kinshasa,1,0,Faible
31,Femme,Angola,Migration,Goma,Nairobi,1,0,Faible
34,Homme,Angola,Études,Kigali,Tshikapa,1,1,Moyen
41,Homme,Angola,Études,Goma,Mbujimayi,0,0,Moyen
27,Homme,Zambie,Migration,Kigali,Mbujimayi,1,1,Moyen
56,Femme,Ouganda,Transit,Kigali,Mbujimayi,0,1,Élevé
67,Femme,RDC,Transit,Goma,Kananga,1,0,Faible
64,Femme,Ouganda,Affaires,Kigali,Mbujimayi,1,0,Faible
27,Femme,Zambie,Affaires,Kigali,Luanda,0,1,Élevé
49,Homme,RDC,Transit,Kisangani,Kananga,0,0,Moyen
54,Homme,RDC,Migration,Kinshasa,Luanda,0,0,Moyen
60,Femme,Ouganda,Affaires,Kisangani,Luanda,1,0,Faible
52,Homme,Tanzanie,Transit,Goma,Nairobi,1,1,Moyen
51,Femme,RDC,Affaires,Lubumbashi,Mbujimayi,1,0,Faible
55,Homme,Ouganda,Affaires,Kinshasa,Mbujimayi,0,0,Moyen
22,Homme,Zambie,Transit,Kinshasa,Luanda,0,1,Élevé
60,Femme,Angola,Études,Lubumbashi,Nairobi,1,0,Faible
68,Femme,Zambie,Migration,Lubumbashi,Mbujimayi,0,1,Élevé
40,Femme,Burundi,Migration,Lusaka,Mbujimayi,0,0,Moyen
43,Femme,Zambie,Tourisme,Lubumbashi,Kananga,0,1,Élevé
26,Femme,Angola,Transit,Goma,Kananga,0,1,Élevé
69,Homme,RDC,Études,Kinshasa,Mbujimayi,0,0,Moyen
44,Femme,Burundi,Affaires,Goma,Mbujimayi,0,1,Élevé
18,Femme,Rwanda,Migration,Kisangani,Kinshasa,1,0,Moyen
30,Femme,Angola,Tourisme,Kigali,Nairobi,0,1,Élevé
21,Homme,Ouganda,Migration,Kigali,Luanda,0,0,Élevé
50,Homme,Zambie,Affaires,Kinshasa,Luanda,0,0,Moyen
43,Homme,Ouganda,Affaires,Kigali,Luanda,0,0,Moyen
44,Femme,Rwanda,Affaires,Lusaka,Nairobi,1,0,Faible
34,Femme,Angola,Transit,Goma,Tshikapa,0,0,Moyen
47,Homme,RDC,Études,Lubumbashi,Luanda,1,0,Faible
40,Homme,Angola,Transit,Kisangani,Kananga,1,1,Moyen
57,Homme,Tanzanie,Études,Kisangani,Nairobi,0,0,Moyen
34,Homme,RDC,Études,Lubumbashi,Tshikapa,1,0,Faible
63,Femme,Angola,Transit,Kigali,Kinshasa,1,0,Faible
23,Femme,Zambie,Transit,Kinshasa,Mbujimayi,1,0,Faible
58,Femme,Angola,Migration,Kigali,Nairobi,1,0,Faible
25,Homme,Tanzanie,Affaires,Kigali,Mbujimayi,1,0,Faible
45,Homme,RDC,Transit,Kisangani,Mbujimayi,1,0,Faible
61,Homme,Tanzanie,Tourisme,Kisangani,Luanda,1,0,Faible
33,Homme,Zambie,Affaires,Goma,Mbujimayi,0,1,Élevé
68,Femme,Zambie,Affaires,Kisangani,Kananga,0,1,Élevé
20,Femme,Angola,Affaires,Goma,Tshikapa,1,0,Faible
32,Homme,Tanzanie,Affaires,Goma,Tshikapa,1,0,Faible
67,Femme,Rwanda,Études,Goma,Nairobi,1,0,Faible
25,Femme,Angola,Études,Kisangani,Mbujimayi,0,1,Élevé
40,Femme,Burundi,Études,Kigali,Mbujimayi,1,0,Faible
34,Homme,Tanzanie,Migration,Kinshasa,Luanda,0,1,Élevé
45,Homme,Tanzanie,Transit,Kigali,Tshikapa,0,1,Élevé
50,Femme,Tanzanie,Migration,Kisangani,Kinshasa,1,0,Faible
30,Femme,Tanzanie,Migration,Lusaka,Nairobi,0,1,Élevé
43,Homme,Rwanda,Transit,Lubumbashi,Kinshasa,1,1,Moyen
46,Femme,Tanzanie,Affaires,Kigali,Kinshasa,0,0,Moyen
36,Femme,RDC,Affaires,Lusaka,Tshikapa,0,0,Moyen
27,Homme,RDC,Affaires,Goma,Luanda,0,1,Élevé
44,Homme,Tanzanie,Migration,Goma,Kinshasa,0,0,Moyen
59,Homme,Zambie,Tourisme,Goma,Kananga,0,1,Élevé
21,Homme,Zambie,Tourisme,Goma,Kananga,1,1,Moyen
66,Femme,Ouganda,Études,Goma,Luanda,1,0,Faible
65,Femme,Burundi,Transit,Lubumbashi,Nairobi,1,1,Moyen
58,Homme,Rwanda,Migration,Kinshasa,Nairobi,1,0,Faible
35,Femme,Rwanda,Études,Kinshasa,Kananga,0,0,Moyen
42,Homme,Tanzanie,Affaires,Kinshasa,Kinshasa,1,1,Moyen
52,Femme,Burundi,Tourisme,Lubumbashi,Kinshasa,1,0,Faible
66,Femme,Burundi,Tourisme,Kisangani,Tshikapa,1,1,Moyen
52,Homme,Burundi,Affaires,Kisangani,Kinshasa,1,0,Faible
42,Femme,Tanzanie,Migration,Lusaka,Kananga,1,0,Faible
57,Homme,Burundi,Études,Kigali,Nairobi,0,0,Moyen
59,Femme,Angola,Migration,Lubumbashi,Mbujimayi,1,1,Moyen
38,Homme,Burundi,Transit,Kisangani,Kinshasa,1,1,Moyen
34,Homme,Burundi,Tourisme,Lusaka,Luanda,0,1,Élevé
32,Homme,Zambie,Tourisme,Kinshasa,Kananga,0,0,Moyen
57,Homme,Angola,Affaires,Goma,Nairobi,0,0,Moyen
47,Femme,Zambie,Transit,Lubumbashi,Luanda,0,0,Moyen
37,Homme,Ouganda,Tourisme,Kisangani,Luanda,1,1,Moyen
63,Homme,RDC,Études,Lusaka,Nairobi,0,0,Moyen
62,Femme,Zambie,Études,Kinshasa,Luanda,0,1,Élevé
52,Femme,Tanzanie,Transit,Kinshasa,Luanda,1,0,Faible
44,Femme,RDC,Migration,Kisangani,Nairobi,1,0,Faible
45,Homme,Tanzanie,Études,Lusaka,Tshikapa,1,1,Moyen
45,Femme,Rwanda,Affaires,Kinshasa,Tshikapa,1,0,Faible
66,Femme,Ouganda,Études,Lusaka,Kinshasa,1,0,Faible
49,Femme,Angola,Migration,Lubumbashi,Tshikapa,1,1,Moyen
35,Femme,Ouganda,Tourisme,Kigali,Kananga,0,0,Moyen
64,Femme,Burundi,Études,Lubumbashi,Nairobi,1,1,Moyen
46,Homme,RDC,Transit,Lubumbashi,Kinshasa,0,1,Élevé
60,Femme,Burundi,Études,Kigali,Tshikapa,1,1,Moyen
40,Femme,Rwanda,Transit,Kisangani,Kananga,0,0,Moyen
38,Homme,Tanzanie,Études,Lusaka,Kananga,0,0,Moyen
65,Femme,Rwanda,Études,Kigali,Luanda,1,0,Faible
30,Femme,Angola,Transit,Lubumbashi,Tshikapa,0,0,Moyen
35,Homme,RDC,Études,Kisangani,Nairobi,0,1,Élevé
24,Homme,Ouganda,Transit,Goma,Kinshasa,1,1,Moyen
29,Homme,Rwanda,Migration,Kinshasa,Mbujimayi,1,1,Moyen
22,Homme,Angola,Affaires,Kigali,Tshikapa,0,0,Moyen
25,Femme,Ouganda,Études,Kigali,Kananga,1,1,Moyen
46,Femme,Zambie,Études,Goma,Tshikapa,0,0,Moyen
66,Homme,Tanzanie,Affaires,Kisangani,Nairobi,0,0,Moyen
33,Homme,Ouganda,Tourisme,Lubumbashi,Mbujimayi,1,1,Moyen
62,Femme,Rwanda,Tourisme,Lubumbashi,Tshikapa,1,1,Moyen
22,Homme,Rwanda,Études,Lusaka,Kananga,1,0,Faible
52,Homme,Tanzanie,Affaires,Kisangani,Kananga,0,0,Moyen
28,Femme,Ouganda,Études,Kisangani,Kinshasa,0,1,Élevé
62,Femme,Tanzanie,Migration,Kisangani,Luanda,1,1,Moyen
23,Homme,Burundi,Transit,Kigali,Tshikapa,0,0,Moyen
32,Homme,Zambie,Transit,Kigali,Mbujimayi,0,1,Élevé
51,Femme,Rwanda,Affaires,Kigali,Kinshasa,1,0,Faible
48,Femme,Burundi,Transit,Kisangani,Nairobi,0,0,Moyen
39,Femme,Tanzanie,Migration,Kisangani,Nairobi,1,0,Faible
47,Homme,Rwanda,Transit,Kisangani,Mbujimayi,1,0,Faible
60,Femme,Burundi,Tourisme,Lubumbashi,Luanda,1,1,Moyen
58,Femme,Zambie,Tourisme,Lubumbashi,Tshikapa,0,1,Élevé
46,Femme,RDC,Tourisme,Lusaka,Luanda,0,0,Moyen
37,Homme,Ouganda,Migration,Kinshasa,Kananga,0,1,Élevé
25,Homme,Burundi,Transit,Kigali,Nairobi,1,1,Moyen
48,Femme,Angola,Migration,Kigali,Kananga,1,0,Faible
56,Homme,Zambie,Tourisme,Kisangani,Kinshasa,1,1,Moyen
70,Homme,Rwanda,Transit,Kigali,Luanda,1,0,Faible
46,Femme,Rwanda,Transit,Kigali,Luanda,1,1,Moyen
38,Homme,Tanzanie,Affaires,Kigali,Kinshasa,0,1,Élevé
20,Femme,Tanzanie,Migration,Lusaka,Kinshasa,1,0,Moyen
49,Homme,Angola,Études,Kigali,Tshikapa,0,1,Élevé
24,Femme,RDC,Affaires,Goma,Nairobi,0,0,Moyen
48,Femme,Rwanda,Études,Lusaka,Kinshasa,0,1,Élevé
61,Femme,Rwanda,Migration,Kigali,Mbujimayi,0,0,Moyen
58,Femme,Angola,Tourisme,Goma,Mbujimayi,0,1,Élevé
28,Femme,RDC,Tourisme,Kisangani,Mbujimayi,1,1,Moyen
41,Femme,Angola,Affaires,Kigali,Kinshasa,0,0,Moyen
29,Homme,Ouganda,Migration,Kigali,Nairobi,0,1,Élevé
55,Homme,Angola,Migration,Lusaka,Tshikapa,1,1,Moyen
60,Homme,Zambie,Migration,Kisangani,Nairobi,0,0,Moyen
46,Femme,Ouganda,Transit,Lusaka,Kinshasa,1,1,Moyen
37,Homme,Burundi,Migration,Kinshasa,Kananga,1,1,Moyen
54,Femme,Tanzanie,Transit,Kinshasa,Nairobi,1,1,Moyen
18,Homme,Ouganda,Migration,Kisangani,Kananga,1,0,Moyen
58,Homme,Ouganda,Transit,Lusaka,Nairobi,0,0,Moyen
